use_case,window,data_size,algorithm,max_date,min_date,x_train_size,y_train_size,x_test_size,y_test_size,time_train,time_test,Mean absolute error,R2 
W365P75.0,365,75.0,Lasso,2015/07/31,2014/08/01,227660,227660,56916,56916,1.6928196996450424,0.04577790014445782,971.7179258397694,0.8664534801962213
W365P75.0,365,75.0,Random Forest Regressor,2015/07/31,2014/08/01,227660,227660,56916,56916,65.55587920034304,0.21190090011805296,564.8032143861128,0.9503102875012126
W365P75.0,365,75.0,Stacking Regressor,2015/07/31,2014/08/01,227660,227660,56916,56916,44.629336500074714,0.1431712000630796,395.27106394004113,0.9747713315520523
W365P50.0,365,50.0,Linear Regression,2015/07/31,2014/08/01,151774,151774,37944,37944,1.0960454000160098,0.03313939971849322,974.1007488272297,0.8630347063176328
W365P50.0,365,50.0,Decision Tree Regressor,2015/07/31,2014/08/01,151774,151774,37944,37944,6.387421200051904,0.02966899983584881,797.5504063313253,0.9059176744046672
W365P50.0,365,50.0,Lasso,2015/07/31,2014/08/01,151774,151774,37944,37944,1.1139660002663732,0.03179659973829985,974.304744031748,0.8630616145035945
W365P50.0,365,50.0,Random Forest Regressor,2015/07/31,2014/08/01,151774,151774,37944,37944,43.69565190002322,0.13366479985415936,610.9089790217162,0.9429281736307514
W365P50.0,365,50.0,Stacking Regressor,2015/07/31,2014/08/01,151774,151774,37944,37944,29.25042330008,0.0888919997960329,422.85920010613046,0.9712770587591043
W365P25.0,365,25.0,Linear Regression,2015/07/31,2014/08/01,75887,75887,18972,18972,0.5169284003786743,0.019522800110280514,976.6233941211243,0.8655105107348677
W365P25.0,365,25.0,Decision Tree Regressor,2015/07/31,2014/08/01,75887,75887,18972,18972,2.7667342997156084,0.021482199896126986,848.0154492383883,0.892550560963074
W365P25.0,365,25.0,Lasso,2015/07/31,2014/08/01,75887,75887,18972,18972,0.5142028001137078,0.018171700183302164,976.7823234586567,0.8655068669894536
W365P25.0,365,25.0,Random Forest Regressor,2015/07/31,2014/08/01,75887,75887,18972,18972,19.90677360026166,0.059059899765998125,669.5157916930214,0.934029348782906
W365P25.0,365,25.0,Stacking Regressor,2015/07/31,2014/08/01,75887,75887,18972,18972,14.545259499922395,0.0394704001955688,481.67024777530406,0.9640398791214109
W365P10.0,365,10.0,Linear Regression,2015/07/31,2014/08/01,30355,30355,7589,7589,0.18270820006728172,0.009269499685615301,968.043387756748,0.8666203193274995
W365P10.0,365,10.0,Decision Tree Regressor,2015/07/31,2014/08/01,30355,30355,7589,7589,1.085622400045395,0.009750000201165676,988.3175646279185,0.8508261436227512
W365P10.0,365,10.0,Lasso,2015/07/31,2014/08/01,30355,30355,7589,7589,0.1770965000614524,0.008093100041151047,968.341075718557,0.8666308364159164
W365P10.0,365,10.0,Random Forest Regressor,2015/07/31,2014/08/01,30355,30355,7589,7589,7.070196400396526,0.028652699664235115,777.856924495981,0.9115836249357344
W365P10.0,365,10.0,Stacking Regressor,2015/07/31,2014/08/01,30355,30355,7589,7589,5.964156299829483,0.016689499840140343,569.4611144253215,0.9512708894245008
W365P5.0,365,5.0,Linear Regression,2015/07/31,2014/08/01,15177,15177,3795,3795,0.08366050012409687,0.004737299866974354,960.0473085908551,0.8673806399074871
W365P5.0,365,5.0,Decision Tree Regressor,2015/07/31,2014/08/01,15177,15177,3795,3795,0.43465219996869564,0.00601059990003705,1029.3126998061482,0.848547061242788
